epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,171146,1.41959,4.44229,1.12741,0.51541,0.38602,0.40678,0.23395,1.35817,4.39939,1.10986,0.000485958,0.000485958,0.000485958
122,172310,1.42393,4.45137,1.12888,0.51842,0.38558,0.40767,0.23439,1.35757,4.3969,1.10971,0.000479604,0.000479604,0.000479604
123,173477,1.42435,4.44238,1.12764,0.51387,0.38539,0.40782,0.2348,1.35716,4.39444,1.10937,0.000473265,0.000473265,0.000473265
124,174639,1.41958,4.4424,1.12922,0.51083,0.38787,0.40811,0.23509,1.35707,4.39314,1.10931,0.000466941,0.000466941,0.000466941
125,175806,1.41651,4.4317,1.12676,0.50886,0.38725,0.40801,0.23503,1.35697,4.39092,1.10924,0.000460634,0.000460634,0.000460634
126,178300,1.4167,4.42883,1.12461,0.50944,0.38673,0.408,0.23506,1.35705,4.38861,1.10904,0.000454346,0.000454346,0.000454346
127,179462,1.41306,4.41072,1.12702,0.5073,0.38843,0.40775,0.23519,1.35702,4.38799,1.10886,0.000448076,0.000448076,0.000448076
128,180653,1.41702,4.41389,1.12645,0.50796,0.38994,0.40784,0.23535,1.35636,4.38566,1.10869,0.000441828,0.000441828,0.000441828
129,181827,1.41397,4.40277,1.12524,0.50727,0.39016,0.40823,0.2355,1.35589,4.38532,1.10866,0.000435602,0.000435602,0.000435602
130,182992,1.41672,4.39331,1.12271,0.50733,0.39061,0.40838,0.23549,1.35577,4.38516,1.1085,0.000429399,0.000429399,0.000429399
131,184166,1.42098,4.41898,1.12308,0.50752,0.3908,0.40887,0.23561,1.35557,4.38172,1.10844,0.00042322,0.00042322,0.00042322
132,185328,1.41034,4.38096,1.1245,0.50879,0.3908,0.40913,0.23602,1.35495,4.37943,1.10835,0.000417068,0.000417068,0.000417068
133,186493,1.41001,4.36871,1.12063,0.5086,0.39152,0.40908,0.23621,1.35468,4.37927,1.10832,0.000410942,0.000410942,0.000410942
134,187651,1.4042,4.36416,1.12294,0.51208,0.39158,0.40936,0.23634,1.35476,4.37862,1.10814,0.000404845,0.000404845,0.000404845
135,188819,1.40756,4.36448,1.12232,0.51307,0.38993,0.40912,0.23613,1.35435,4.37621,1.10805,0.000398778,0.000398778,0.000398778
136,190966,1.40728,4.3661,1.11729,0.51035,0.39172,0.40896,0.23619,1.35421,4.3741,1.10787,0.000392741,0.000392741,0.000392741
137,192128,1.41032,4.3719,1.12366,0.51136,0.39272,0.40914,0.23593,1.35396,4.37359,1.10791,0.000386737,0.000386737,0.000386737
138,193296,1.41086,4.358,1.12337,0.51146,0.39215,0.40972,0.23586,1.3537,4.37101,1.1078,0.000380765,0.000380765,0.000380765
139,194463,1.40766,4.36035,1.12282,0.51073,0.39549,0.40944,0.23615,1.35346,4.37101,1.10791,0.000374828,0.000374828,0.000374828
140,195623,1.40989,4.36,1.12066,0.50933,0.39464,0.40948,0.23637,1.35332,4.36862,1.10784,0.000368927,0.000368927,0.000368927
141,196785,1.40146,4.33706,1.12045,0.50575,0.39655,0.40992,0.23641,1.35318,4.36924,1.1077,0.000363063,0.000363063,0.000363063
142,197947,1.40684,4.34287,1.121,0.51064,0.39376,0.41004,0.23615,1.35314,4.36708,1.10751,0.000357237,0.000357237,0.000357237
143,199113,1.40637,4.33634,1.11891,0.50833,0.39402,0.40958,0.2358,1.35286,4.3658,1.1074,0.000351451,0.000351451,0.000351451
144,200277,1.40651,4.32674,1.12039,0.5081,0.39434,0.40999,0.23583,1.35296,4.36527,1.10731,0.000345704,0.000345704,0.000345704
